Year	Date	DayPart	ExactTime	Order	EventID	Track	Origin	Title	Event	Characters	Teams	Groups	Scope	Location	Arc	Continuity	DateCertainty	Reference	SupportingSources	Review
0	06.07	night		2200	V10-000049-B	NARUTO	M	Кабуто й Бакі обговорюють вторгнення	Після загибелі Досу Кабуто й Бакі обговорюють план майбутнього вторгнення в Коноху.	Kabuto Yakushi;Baki			global;character;location	Konohagakure		main	inherited_v9	гл. 91–92; ніч	A [еп. 37–51] — завершення Лісу Смерті та всі десять попередніх поєдинків.	supporting-source-migrated
0	06.07	night		2300	V10-000049-C	NARUTO	M	Хаяте викритий і вбитий	Хаяте підслуховує розмову Кабуто й Бакі, але його викривають; Бакі вбиває Хаяте.	Kabuto Yakushi;Baki;Hayate Gekko			character			main	inherited_v9	гл. 91–92; ніч	A [еп. 37–51] — завершення Лісу Смерті та всі десять попередніх поєдинків.	supporting-source-migrated
0	06.07	unknown		2400	V10-000050	NARUTO	R	після попередніх боїв Саске сам просить Какаші тренувати його, щоб перевершити…	F [Shippūden еп. 258; ретроспектива] — після попередніх боїв Саске сам просить Какаші тренувати його, щоб перевершити Наруто й наблизитися до власної мети; чакропапір підтверджує спорідненість Саске з Райто́ном, і Какаші вирішує передати йому Чідорі.	Naruto Uzumaki;Sasuke Uchiha;Kakashi Hatake			character			main	inherited_v9	Shippūden еп. 258; ретроспектива		daypart
0	06.07	unknown		2500	V10-000051	NARUTO	R	Остання розмова Хаяте й Юґао	Після вбивства охоронців АНБУ біля Саске Хаяте прибігає до шпиталю, переконується, що Юґао жива, отримує від Хірузена наказ простежити за Кабуто й перед виходом обіцяє Юґао, що вони захищатимуть одне одного.	Sasuke Uchiha;Kabuto Yakushi;Hayate Gekko;Yugao Uzuki;Hiruzen Sarutobi		ANBU	character;group			main	inherited_v9	Shippūden еп. 307–308; ретроспектива		
0	07.07	morning		100	V10-000051-B	NARUTO	R	Юґао знаходить тіло Хаяте	Наступного ранку Юґао та її загін знаходять тіло Хаяте після його загибелі від руки Бакі.	Hayate Gekko;Yugao Uzuki;Baki			character			main	inherited_v9	Shippūden еп. 307–308; ретроспектива		
0	07.07	unknown		200	V10-000052	NARUTO	M	наступного дня Джирая починає вчити Наруто Техніки Призову	M [arc 02, Chunin Exams] — наступного дня Джирая починає вчити Наруто Техніки Призову; Наруто спершу здатен викликати лише пуголовків і малих жаб, а Джирая готує його до свідомого використання чакри Дев’ятихвостого. Інші фіналісти паралельно починають власну підготовку.	Naruto Uzumaki;Jiraiya			global;character			main	inherited_v9	arc 02, Chunin Exams	A [еп. 52–54] — тренування після знайомства з Джираєю та перші спроби призову.	supporting-source-migrated;daypart
0	07.07	unknown		300	V10-000053	NARUTO	R	Ханабі відвідує поранену після бою з Неджі Хінату	F [Shippūden еп. 390; ретроспектива] — Ханабі відвідує поранену після бою з Неджі Хінату; Хіната пояснює, чому не здалася.	Hinata Hyuga;Neji Hyuga			character			main	inherited_v9	Shippūden еп. 390; ретроспектива		daypart
0	22.07	unknown		100	V10-000054	NARUTO	M	Chunin Exams	arc 02 [Chunin Exams] — Fifteen days into the training period, Kakashi begins intensive private training with Sasuke, developing his speed and teaching him Chidori; Naruto continues summoning practice with Jiraiya but can summon only tadpoles and small toads.	Naruto Uzumaki;Sasuke Uchiha;Kakashi Hatake;Jiraiya			global;character		Chunin Exams	main	inherited_v9	Chunin Exams	A [еп. 54–57] — тренування Наруто з призовом і робота Какаші із Саске.	supporting-source-migrated;daypart
0	27.07	unknown		100	V10-000055	NARUTO	M	до цієї дати Раса вже вбитий Орочімару, а Орочімару використовує його особу як…	M [передумова Konoha Crush; точний день не названий] — до цієї дати Раса вже вбитий Орочімару, а Орочімару використовує його особу як Четвертого Казекаґе для координації вторгнення.	Orochimaru			global;character;location	Konohagakure		main	inherited_v9	передумова Konoha Crush; точний день не названий		daypart
0	27.07	unknown		200	V10-000056	NARUTO	R	аніме розширює засідку на Расу й показує участь Кімімаро та людей Звуку.	A [еп. 67–68; ретроспектива] — аніме розширює засідку на Расу й показує участь Кімімаро та людей Звуку.	Kimimaro			character			main	inherited_v9	еп. 67–68; ретроспектива		daypart
0	27.07	unknown		300	V10-000057	NARUTO	M	Chunin Exams	arc 02 [Chunin Exams] — Baki meets Orochimaru disguised as the Fourth Kazekage and confirms the final arrangements for the invasion; Naruto still cannot summon a combat-capable toad.	Naruto Uzumaki;Orochimaru;Baki			global;character		Chunin Exams	main	inherited_v9	Chunin Exams	A [еп. 67–68] — змовники уточнюють план вторгнення Конохи.	supporting-source-migrated;daypart
0	28.07	unknown		100	V10-000058	NARUTO	M	Chunin Exams	arc 02 [Chunin Exams] — Twenty-one days into training, Jiraiya throws Naruto into a ravine to force a life-or-death response; Naruto consciously meets Kurama for the first time, demands chakra as payment for their shared survival, and summons Gamabunta; Naruto remains on Gamabunta until the toad accepts him, then collapses.	Naruto Uzumaki;Jiraiya			global;character		Chunin Exams	main	inherited_v9	Chunin Exams	A [еп. 56–58] — Джирая змушує Наруто звернутися до чакри Дев’ятихвостого й укласти контракт із Ґамабунтою.	supporting-source-migrated;daypart
0	31.07	unknown		100	V10-000060	NARUTO	M	Naruto wakes in Konoha Hospital after three days unconscious	M [arc 02] — Naruto wakes in Konoha Hospital after three days unconscious; he visits Lee, learns the damage may end Lee's ninja career, and heads out to prepare; Sasuke remains absent with Kakashi.	Naruto Uzumaki;Sasuke Uchiha;Kakashi Hatake;Rock Lee			character;location	Konohagakure		main	inherited_v9	arc 02	A [еп. 59–60] — завершення підготовки й прибуття учасників на фінали.	supporting-source-migrated;daypart
0	31.07	unknown		200	V10-000061	NARUTO	R	Наруто, Сакура й Команда 10 проходять смугу пасток на полі Хонегамі в пошуках…	F [Shippūden еп. 170–171; ретроспектива] — Наруто, Сакура й Команда 10 проходять смугу пасток на полі Хонегамі в пошуках «спадщини Четвертого Хокаґе»; замаскований Ґай перевіряє їх, ніндзя Дощу нападають, Саске таємно допомагає, а сувій нагадує, що в шляху ніндзя немає коротких доріг.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Might Guy;Ino Yamanaka;Shikamaru Nara;Choji Akimichi;Asuma Sarutobi	Team 10		character;team			main	inherited_v9	Shippūden еп. 170–171; ретроспектива		daypart
0	31.07	unknown		300	V10-000062	NARUTO	R	Саске самостійно відпрацьовує Чідорі на великому валуні й згадує бій із Ґаарою…	F [Shippūden еп. 259; ретроспектива, приблизне вікно перед фіналом] — Саске самостійно відпрацьовує Чідорі на великому валуні й згадує бій із Ґаарою, зокрема те, як Ґаара відновив ушкоджену піском руку, тоді як сам Саске виснажився через використання Проклятої Печатки.	Sasuke Uchiha;Gaara			character			main	approximate	Shippūden еп. 259; ретроспектива, приблизне вікно перед фіналом		daypart
0	31.07	night		400	V10-000059	NARUTO	M	уночі Ґаара приходить до лікарняної палати Лі, щоб убити його	M [гл. 96–97] — уночі Ґаара приходить до лікарняної палати Лі, щоб убити його; Наруто й Шікамару стають на заваді, Ґаара розповідає про дитинство, Яшамару та походження знака «любов», а Ґай зупиняє сутичку.	Naruto Uzumaki;Gaara;Rock Lee;Might Guy			character			main	inherited_v9	гл. 96–97		
0	01.08	unknown		100	V10-000063	NARUTO	M	дорогою на фінали Наруто зустрічає Хінату на тренувальному полі й зізнається, що…	M [гл. 98] — дорогою на фінали Наруто зустрічає Хінату на тренувальному полі й зізнається, що боїться програти Неджі; вона називає його «гордим невдахою», який щоразу підводиться, і повертає йому впевненість.	Naruto Uzumaki;Neji Hyuga			character			main	inherited_v9	гл. 98		daypart
0	01.08	morning		200	V10-000064	NARUTO	M	Наруто перемагає Неджи	У фіналі іспиту Наруто відновлює доступ до чакри Дев’ятихвостого, атакує з-під землі й перемагає Неджи.	Naruto Uzumaki;Neji Hyuga			global;character			main	inherited_v9	arc 02, Chunin Exams		
0	01.08	morning		300	V10-000064-B	NARUTO	M	Неджи дізнається правду про Хізаші	Після поразки Неджи дізнається правду: його батько Хізаші добровільно пожертвував собою, а не був примусово відданий головною гілкою.	Neji Hyuga			character			main	inherited_v9	arc 02, Chunin Exams		
0	01.08	morning		400	V10-000064-C	NARUTO	M	Шикамару здається Темарі	Шикамару ловить Темарі тіньовою технікою, але, вичерпавши ресурси для продовження бою, добровільно здається.	Shikamaru Nara;Temari			character			main	inherited_v9	arc 02, Chunin Exams		
0	01.08	noon		500	V10-000064-D	NARUTO	M	Какаші й Саске запізнюються на фінал	Какаші приводить Саске на арену після запізнення, коли його поєдинок із Ґаарою вже був під загрозою скасування.	Sasuke Uchiha;Kakashi Hatake;Gaara			character			main	inherited_v9	arc 02, Chunin Exams		
0	01.08	noon		600	V10-000064-E	NARUTO	M	Саске пробиває захист Ґаари Чідорі	Саске використовує Чідорі й пробиває піщану сферу Ґаари під час їхнього фінального бою.	Sasuke Uchiha;Gaara			character			main	inherited_v9	arc 02, Chunin Exams		
0	01.08	afternoon		700	V10-000065	NARUTO	M	Починається напад на Коноху	Кабуто накриває арену масовим гендзюцу; сили Суни й Звуку починають скоординований напад на Коноху.	Kabuto Yakushi			global;character;location	Konohagakure		main	inherited_v9	arc 03, Konoha Crush	A [еп. 61–79] — фінальні бої іспиту, вторгнення Суни й Звуку, смерть Хірузена та перемога Наруто над Ґаарою.	supporting-source-migrated
0	01.08	afternoon		800	V10-000065-B	NARUTO	M	Орочімару ізолює Хірузена	Орочімару ізолює Хірузена бар’єром і викликає Першого та Другого Хокаґе Нечистим Воскресінням.	Hiruzen Sarutobi;Orochimaru			character			main	inherited_v9	arc 03, Konoha Crush	A [еп. 61–79] — фінальні бої іспиту, вторгнення Суни й Звуку, смерть Хірузена та перемога Наруто над Ґаарою.	supporting-source-migrated
0	01.08	afternoon		900	V10-000065-C	NARUTO	M	Хірузен гине, запечатавши руки Орочімару	Хірузен жертвує життям, застосовує Печатку Бога Смерті й позбавляє Орочімару можливості використовувати руки для ніндзюцу.	Hiruzen Sarutobi;Orochimaru			character			main	inherited_v9	arc 03, Konoha Crush	A [еп. 61–79] — фінальні бої іспиту, вторгнення Суни й Звуку, смерть Хірузена та перемога Наруто над Ґаарою.	supporting-source-migrated
0	01.08	afternoon		1000	V10-000065-D	NARUTO	M	Саске переслідує Ґаару	Саске залишає арену й переслідує Ґаару та його союзників після зриву фінального бою.	Sasuke Uchiha;Gaara;Temari;Kankuro			character			main	inherited_v9	arc 03, Konoha Crush	A [еп. 61–79] — фінальні бої іспиту, вторгнення Суни й Звуку, смерть Хірузена та перемога Наруто над Ґаарою.	supporting-source-migrated
0	01.08	afternoon		1100	V10-000065-E	NARUTO	M	Наруто перемагає Ґаару	Наруто наздоганяє Ґаару, викликає Ґамабунту, перемагає його й змінює ставлення Ґаари до зв’язків з іншими людьми.	Naruto Uzumaki;Gaara			character			main	inherited_v9	arc 03, Konoha Crush	A [еп. 61–79] — фінальні бої іспиту, вторгнення Суни й Звуку, смерть Хірузена та перемога Наруто над Ґаарою.	supporting-source-migrated
0	01.08	afternoon		1200	V10-000065-F	NARUTO	M	Вторгнення провалюється	Після загибелі Хірузена й поразки ключових сил напад Суни та Звуку на Коноху завершується невдачею.				global;location	Konohagakure		main	inherited_v9	arc 03, Konoha Crush	A [еп. 61–79] — фінальні бої іспиту, вторгнення Суни й Звуку, смерть Хірузена та перемога Наруто над Ґаарою.	supporting-source-migrated
0	01.08	unknown		1300	V10-000066	NARUTO	R	під час вторгнення ворожі ніндзя викрадають Хінату	F [Shippūden еп. 192; ретроспектива] — під час вторгнення ворожі ніндзя викрадають Хінату; Неджі, Тентен, Кіба й Акамару переслідують їх, а Хіаші допомагає визволити доньку й відкриває Неджі правду про любов Хізаші.	Kiba Inuzuka;Akamaru;Neji Hyuga;Tenten			global;character			main	inherited_v9	Shippūden еп. 192; ретроспектива		daypart
0	01.08	unknown		1400	V10-000067	NARUTO	R	Іноїчі, Шікаку й Чодза діють як доросла трійця Іно–Шіка–Чо та рятують Косуке під…	F [Shippūden еп. 239; ретроспектива] — Іноїчі, Шікаку й Чодза діють як доросла трійця Іно–Шіка–Чо та рятують Косуке під час нападу.	Ino Yamanaka		Ino–Shika–Cho	character;group			main	inherited_v9	Shippūden еп. 239; ретроспектива		daypart
0	01.08	unknown		1500	V10-000068	NARUTO	R	Ханабі разом із Хіаші дивиться фінал і бачить перемогу Наруто над Неджі.	F [Shippūden еп. 390; ретроспектива] — Ханабі разом із Хіаші дивиться фінал і бачить перемогу Наруто над Неджі.	Naruto Uzumaki;Neji Hyuga			character			main	inherited_v9	Shippūden еп. 390; ретроспектива		daypart
0	01.08	afternoon		1600	V10-000069	NARUTO	M	Какаші відправляє погоню за Саске	Какаші розвіює сон Сакури й відправляє її разом із Наруто, Шикамару та Паккуном наздогнати Саске.	Naruto Uzumaki;Sakura Haruno;Kakashi Hatake;Shikamaru Nara;Pakkun			character			main	inherited_v9	arc 03, паралельно вторгненню		
0	01.08	afternoon		1700	V10-000069-B	NARUTO	M	Шикамару затримує переслідувачів Звуку	Під час погоні Шикамару залишається позаду, щоб затримати шинобі Звуку, які переслідують групу.	Shikamaru Nara		Otogakure forces	character;group			main	inherited_v9	arc 03, паралельно вторгненню		
0	01.08	afternoon		1800	V10-000069-C	NARUTO	M	Шіно б’ється з Канкуро	Шіно наздоганяє Канкуро й вступає з ним у бій, поки Саске продовжує переслідувати Ґаару.	Shino Aburame;Kankuro;Sasuke Uchiha;Gaara			character			main	inherited_v9	arc 03, паралельно вторгненню		
0	01.08	unknown		1900	V10-000070	NARUTO	M	Кін Цучі й Заку Абумі використані Орочімару як людські жертви для Нечистого…	M — Кін Цучі й Заку Абумі використані Орочімару як людські жертви для Нечистого Воскресіння Першого й Другого Хокаґе.	Orochimaru;Zaku			character			main	inherited_v9			daypart
0	01.08	unknown		2000	V10-000071	NARUTO	R	під час вторгнення Юґао приходить до Меморіального каменя, де вже викарбуване…	F [Shippūden еп. 308; ретроспектива] — під час вторгнення Юґао приходить до Меморіального каменя, де вже викарбуване ім’я Хаяте, присягається помститися за нього й вирушає разом зі своїм загоном АНБУ.	Hayate Gekko;Yugao Uzuki		ANBU	global;character;group			main	inherited_v9	Shippūden еп. 308; ретроспектива		daypart
0	02.08	unknown		100	V10-000072	NARUTO	M	Коноха лікує поранених і починає відбудову	Після провалу вторгнення Коноха лікує поранених, підраховує загиблих і починає відбудову.	Jiraiya;Orochimaru			global;character;location	Konohagakure	Konoha Crush	main	inherited_v9	Konoha Crush	A [еп. 79–80] — порятунок поранених, відступ нападників і початок відбудови.	supporting-source-migrated;daypart
0	02.08	unknown		200	V10-000072-B	NARUTO	M	Рада шукає наступного Хокаґе	Даймьо Країни Вогню та керівництво Конохи проводять екстрену нараду щодо вакантної посади Хокаґе й сходяться на Джираї як бажаному кандидатові.	Jiraiya			global;character;location	Konohagakure;Land of Fire	Konoha Crush	main	inherited_v9	Konoha Crush	A [еп. 79–80] — порятунок поранених, відступ нападників і початок відбудови.	supporting-source-migrated;daypart
0	02.08	unknown		300	V10-000072-C	NARUTO	M	Суна викриває обман Орочімару	Сунаґакуре знаходить тіло Раси, підтверджує підміну Четвертого Казекаґе Орочімару й готується капітулювати та відновити союз із Конохою.	Orochimaru			global;character;location	Sunagakure;Konohagakure	Konoha Crush	main	inherited_v9	Konoha Crush	A [еп. 79–80] — порятунок поранених, відступ нападників і початок відбудови.	supporting-source-migrated;daypart
0	03.08	morning		100	V10-000073	NARUTO	M	Похорон Хірузена	Через два дні після вторгнення Коноха проводить похорон Хірузена.	Hiruzen Sarutobi			global;character;location	Konohagakure		main	inherited_v9	гл. 139–143	A [еп. 80–83] — похорон Третього, поява Ітачі й Кісаме та початок подорожі Джираї з Наруто.	supporting-source-migrated
0	03.08	morning		200	V10-000073-B	NARUTO	M	Ірука пояснює Конохамару Волю Вогню	Після похорону Ірука пояснює Конохамару сенс Волі Вогню й спадкоємності поколінь.	Iruka Umino;Konohamaru Sarutobi			character;location	Konohagakure		main	inherited_v9	гл. 139–143	A [еп. 80–83] — похорон Третього, поява Ітачі й Кісаме та початок подорожі Джираї з Наруто.	supporting-source-migrated
0	03.08	unknown		300	V10-000073-C	NARUTO	M	Джирая відмовляється стати П’ятим	Кохару й Хомура пропонують Джираї посаду П’ятого Хокаґе. Він відмовляється, висуває Цунаде й погоджується особисто її знайти.	Jiraiya;Tsunade		Konoha Council	character;group;location	Konohagakure		main	inherited_v9	гл. 139–143	A [еп. 80–83] — похорон Третього, поява Ітачі й Кісаме та початок подорожі Джираї з Наруто.	supporting-source-migrated;daypart
0	03.08	unknown		400	V10-000073-D	NARUTO	M	Ітачі й Кісаме вступають у бій у Конохі	Ітачі й Кісаме, які проникли до Конохи в пошуках Наруто, б’ються з Асумою та Куренай. Какаші втручається й потрапляє під Цукуйомі; Ґай змушує Акацукі відступити.	Naruto Uzumaki;Kakashi Hatake;Might Guy;Asuma Sarutobi;Kurenai Yuhi;Itachi Uchiha;Kisame Hoshigaki		Akatsuki	character;group;location	Konohagakure		main	inherited_v9	гл. 139–143	A [еп. 80–83] — похорон Третього, поява Ітачі й Кісаме та початок подорожі Джираї з Наруто.	supporting-source-migrated;daypart
0	03.08	unknown		500	V10-000073-E	NARUTO	M	Наруто вирушає шукати Цунаде	Джирая бере Наруто із собою й залишає Коноху на пошуки Цунаде.	Naruto Uzumaki;Jiraiya;Tsunade			character;location	Konohagakure		main	inherited_v9	гл. 139–143	A [еп. 80–83] — похорон Третього, поява Ітачі й Кісаме та початок подорожі Джираї з Наруто.	supporting-source-migrated;daypart
0	04.08	unknown		100	V10-000074	NARUTO	R	після іспиту Ґай підбадьорює Тентен, яка сумнівається у власних здібностях	F [Shippūden еп. 237; ретроспектива] — після іспиту Ґай підбадьорює Тентен, яка сумнівається у власних здібностях; вона відмовляється від наслідування Цунаде й утверджує власний шлях майстрині ніндзя-знарядь.	Tsunade;Tenten;Might Guy			global;character			main	inherited_v9	Shippūden еп. 237; ретроспектива		daypart
0	04.08	unknown		200	V10-000075	NARUTO	R	Ханабі бачить, як Хіната після поразки продовжує тренуватися разом із Неджі, й…	F [Shippūden еп. 390; ретроспектива, приблизне вікно] — Ханабі бачить, як Хіната після поразки продовжує тренуватися разом із Неджі, й помічає її нову впевненість.	Hinata Hyuga;Neji Hyuga			character			main	approximate	Shippūden еп. 390; ретроспектива, приблизне вікно		daypart
0	04.08	unknown		300	V10-000076	NARUTO	M	Ітачі й Кісаме наздоганяють Наруто в заїжджому дворі	M [гл. 144–148] — Ітачі й Кісаме наздоганяють Наруто в заїжджому дворі; Саске, дізнавшись про Ітачі, прибуває й атакує Чідорі, але Ітачі ламає йому руку та знову занурює в Цукуйомі. Джирая повертається, замикає Акацукі всередині стравоходу жаби, однак Ітачі прорізає вихід Аматерасу; Саске лишається непритомним, а Джирая й Наруто продовжують пошуки Цунаде.	Naruto Uzumaki;Sasuke Uchiha;Jiraiya;Tsunade;Itachi Uchiha;Kisame Hoshigaki		Akatsuki	character;group			main	inherited_v9	гл. 144–148	A [еп. 84–85] — аніме показує зіткнення Саске з Ітачі в заїжджому дворі: Чідорі Саске зупинене, Ітачі ламає йому руку й застосовує Цукуйомі; Джирая захоплює Ітачі й Кісаме технікою шлунка жаби, але вони прориваються назовні Аматерасу.	supporting-source-migrated;daypart
0	22.08	unknown		100	V10-000077	NARUTO	M	Search for Tsunade	arc 04 [Search for Tsunade] — While Jiraiya gathers information on Tsunade, Naruto completes the first Rasengan stage by bursting a water balloon through rotational chakra control; Jiraiya gives him a rubber ball for the harder power stage.	Naruto Uzumaki;Jiraiya;Tsunade			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 86–90] — Наруто проходить перші етапи формування Расенґана.	supporting-source-migrated;daypart
0	24.08	unknown		100	V10-000078	NARUTO	M	Search for Tsunade	arc 04 [Search for Tsunade] — Jiraiya notes that three weeks have passed since the encounter with Itachi; Naruto continues the Rasengan power stage and learns to focus chakra through a marked point in his palm.	Naruto Uzumaki;Jiraiya;Tsunade;Itachi Uchiha			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 91] — пошуки Цунаде та початок останнього етапу тренування.	supporting-source-migrated;daypart
0	25.08	unknown		100	V10-000079	NARUTO	M	Орочімару пропонує Цунаде угоду	Орочімару й Кабуто знаходять Цунаде в Танзаку. Орочімару обіцяє воскресити Нава́кі та Дана, якщо Цунаде вилікує його запечатані руки, й дає їй тиждень на рішення.	Tsunade;Orochimaru;Kabuto Yakushi			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 92–93] — Орочімару пропонує воскресити Нава́кі й Дана в обмін на зцілення рук; Цунаде вагається.	supporting-source-migrated;daypart
0	25.08	unknown		200	V10-000079-B	NARUTO	M	Наруто проходить другий етап Расенґана	Наруто завершує другий етап тренування Расенґана, навчившись розривати гумову кульку силою обертання чакри.	Naruto Uzumaki;Jiraiya			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 92–93] — Орочімару пропонує воскресити Нава́кі й Дана в обмін на зцілення рук; Цунаде вагається.	supporting-source-migrated;daypart
0	25.08	unknown		300	V10-000079-C	NARUTO	M	Джирая пропонує Цунаде посаду Хокаґе	Наруто й Джирая знаходять Цунаде. Джирая пропонує їй стати П’ятою Хокаґе, але вона відмовляється й зневажливо говорить про титул.	Naruto Uzumaki;Jiraiya;Tsunade			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 92–93] — Орочімару пропонує воскресити Нава́кі й Дана в обмін на зцілення рук; Цунаде вагається.	supporting-source-migrated;daypart
0	25.08	unknown		400	V10-000079-D	NARUTO	M	Наруто намагається атакувати Цунаде Расенґаном	Обурений словами Цунаде, Наруто атакує її незавершеним Расенґаном; Цунаде легко зупиняє його одним пальцем.	Naruto Uzumaki;Tsunade			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 92–93] — Орочімару пропонує воскресити Нава́кі й Дана в обмін на зцілення рук; Цунаде вагається.	supporting-source-migrated;daypart
0	25.08	unknown		500	V10-000079-E	NARUTO	M	Парі Цунаде й Наруто	Цунаде ставить на кін намисто Першого Хокаґе й заявляє, що Наруто не зможе опанувати Расенґан за один тиждень.	Naruto Uzumaki;Tsunade			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 92–93] — Орочімару пропонує воскресити Нава́кі й Дана в обмін на зцілення рук; Цунаде вагається.	supporting-source-migrated;daypart
0	26.08	unknown		100	V10-000080	NARUTO	M	Search for Tsunade	arc 04 [Search for Tsunade] — Naruto begins the final Rasengan stage, trying to combine rotation, power, and containment; Tsunade weighs Orochimaru's offer; Shizune explains to Naruto how Tsunade lost Nawaki and Dan and developed her fear of blood.	Naruto Uzumaki;Tsunade;Orochimaru;Shizune			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 94] — Наруто намагається поєднати обертання, силу й утримання чакри в завершений Расенґан.	supporting-source-migrated;daypart
0	31.08	night		100	V10-000081	NARUTO	M	Search for Tsunade	arc 04 [Search for Tsunade] — On the final night of the wager Naruto appears unable to complete Rasengan; Tsunade drugs Jiraiya to prevent interference and leaves to meet Orochimaru; Shizune reveals the deal and leads Jiraiya and Naruto after her.	Naruto Uzumaki;Jiraiya;Tsunade;Orochimaru;Shizune			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 94–95] — спливає строк парі Наруто й Цунаде; сторони готуються до зустрічі з Орочімару.	supporting-source-migrated
0	01.09	unknown		100	V10-000082	NARUTO	M	Цунаде намагається обдурити Орочімару	Цунаде удає, що погодилася на умови Орочімару, але замість лікування намагається його вбити.	Tsunade;Orochimaru			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	supporting-source-migrated;daypart
0	01.09	unknown		200	V10-000082-B	NARUTO	M	Кабуто використовує страх Цунаде перед кров’ю	Кабуто викриває обман Цунаде й користується її гемофобією, щоб позбавити її здатності нормально битися.	Tsunade;Kabuto Yakushi			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	supporting-source-migrated;daypart
0	01.09	unknown		300	V10-000082-C	NARUTO	M	Наруто й Джирая прибувають на бій	Шизуне, Джирая та Наруто прибувають; Кабуто перемагає Шизуне й вступає в бій із Цунаде.	Naruto Uzumaki;Jiraiya;Tsunade;Kabuto Yakushi;Shizune			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	supporting-source-migrated;daypart
0	01.09	unknown		400	V10-000082-D	NARUTO	M	Наруто вперше влучає Расенґаном	Наруто захищає Цунаде, фіксує руку Кабуто тіньовим клоном і стабілізує Расенґан другим клоном, завдаючи Кабуто прямого удару.	Naruto Uzumaki;Tsunade;Kabuto Yakushi			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	supporting-source-migrated;daypart
0	01.09	unknown		500	V10-000082-E	NARUTO	M	Цунаде долає страх крові	Захищаючи Наруто, Цунаде долає страх крові й активує Техніку Створення Відродження.	Naruto Uzumaki;Tsunade			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	supporting-source-migrated;daypart
0	01.09	unknown		600	V10-000082-F	NARUTO	M	Троє саннінів викликають своїх призовів	Джирая, Цунаде й Орочімару викликають Ґамабунту, Кацую та Манду й вступають у протистояння трьох саннінів.	Jiraiya;Tsunade;Orochimaru		Sannin	character;group		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	supporting-source-migrated;daypart
0	01.09	unknown		700	V10-000082-G	NARUTO	M	Цунаде перемагає Орочімару	Цунаде перемагає Орочімару в ближньому бою; Орочімару відступає разом із Кабуто.	Tsunade;Orochimaru;Kabuto Yakushi			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	supporting-source-migrated;daypart
0	01.09	unknown		800	V10-000082-H	NARUTO	M	Цунаде визнає Наруто й приймає посаду	Цунаде віддає Наруто намисто Першого Хокаґе, визнає його майбутнім Хокаґе й погоджується стати П’ятою.	Naruto Uzumaki;Tsunade			character		Search for Tsunade	main	inherited_v9	Search for Tsunade	A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	supporting-source-migrated;daypart
0	02.09	unknown		100	V10-000084	NARUTO	F	дорогою до Конохи група зупиняється біля гарячих джерел	F [еп. 97] — дорогою до Конохи група зупиняється біля гарячих джерел; кредитори викрадають Наруто через борги Цунаде, але план провалюється.	Naruto Uzumaki;Tsunade			character;location	Konohagakure		main	inherited_v9	еп. 97		daypart
0	02.09	unknown		200	V10-000083	NARUTO	M	Наруто відновлюється після бою з Кабуто	Наруто приходить до тями після того, як Цунаде усуває критичні наслідки удару Кабуто.	Naruto Uzumaki;Tsunade;Kabuto Yakushi			character			main	inherited_v9	arc 04, Search for Tsunade	A [еп. 98–100] — повернення до Конохи, лікування Какаші й Саске, діагноз Лі та вступ Цунаде на посаду.	supporting-source-migrated;daypart
